,GAME_ID,HOMEDESCRIPTION,PCTIMESTRING,PERIOD,PLAYER3_TEAM_ABBREVIATION,HOME_TEAM,AWAY_TEAM,JUMP_BALL_HOME_PLAYER_ID,JUMP_BALL_AWAY_PLAYER_ID,JUMP_BALL_RETRIEVED_PLAYER_ID,JUMP_BALL_RETRIEVED_TEAM_NAME
561508,21701230,Jump Ball Cauley-Stein vs. Black: Tip to Fox,12:00,1.0,Kings,Rockets,Kings,1626161.0,204028.0,1628368.0,Kings
1,21600256,Jump Ball Whiteside vs. Johnson: Tip to Zeller,12:00,1.0,Celtics,Celtics,Heat,202355.0,101161.0,203092.0,Celtics
465,21600257,Jump Ball Gasol vs. Zeller: Tip to Green,12:00,1.0,Grizzlies,Hornets,Grizzlies,201188.0,203469.0,203210.0,Grizzlies
937,21600258,Jump Ball Towns vs. Gobert: Tip to G. Hill,12:00,1.0,Jazz,Timberwolves,Jazz,1626157.0,203497.0,201588.0,Jazz
1381,21600259,Jump Ball Pachulia vs. Howard: Tip to Green,12:00,1.0,Warriors,Hawks,Warriors,2585.0,2730.0,203110.0,Warriors
1873,21600260,Jump Ball Zeller vs. Drummond: Tip to Harris,12:00,1.0,Pistons,Hornets,Pistons,203469.0,203083.0,202699.0,Pistons
2304,21600261,Jump Ball Lopez vs. Jordan: Tip to Whitehead,12:00,1.0,Nets,Nets,Clippers,201572.0,201599.0,1627785.0,Nets
2918,21600262,Jump Ball Henson vs. Thompson: Tip to Snell,12:00,1.0,Bucks,Cavaliers,Bucks,203089.0,202684.0,203503.0,Bucks
3376,21600263,Jump Ball Davis vs. Mozgov: Tip to Frazier,12:00,1.0,Pelicans,Lakers,Pelicans,203076.0,202389.0,204025.0,Pelicans
3831,21600264,Jump Ball Gasol vs. Biyombo: Tip to Ibaka,12:00,1.0,Magic,Magic,Spurs,2200.0,202687.0,201586.0,Magic
4277,21600265,Jump Ball Gobert vs. Capela: Tip to Anderson,12:00,1.0,Rockets,Rockets,Jazz,203497.0,203991.0,201583.0,Rockets
4717,21600266,Jump Ball Okafor vs. Koufos: Tip to Cousins,12:00,1.0,Kings,76ers,Kings,1626143.0,201585.0,202326.0,Kings
5166,21600267,Jump Ball Johnson vs. Drummond: Tip to Harris,12:00,1.0,Pistons,Celtics,Pistons,101161.0,203083.0,202699.0,Pistons
5608,21600268,Jump Ball Valanciunas vs. Gasol: Tip to Green,12:00,1.0,Grizzlies,Grizzlies,Raptors,202685.0,201188.0,203210.0,Grizzlies
6063,21600269,Jump Ball Lopez vs. Mozgov: Tip to Gibson,12:00,1.0,Bulls,Bulls,Lakers,201577.0,202389.0,201959.0,Bulls
6596,21600270,Jump Ball Adams vs. Gortat: Tip to Mark Morris,12:00,1.0,Wizards,Thunder,Wizards,203500.0,101162.0,202693.0,Wizards
7136,21600271,Jump Ball Towns vs. Porzingis: Tip to Dieng,12:00,1.0,Timberwolves,Timberwolves,Knicks,1626157.0,204001.0,203476.0,Timberwolves
7595,21600272,Jump Ball Bogut vs. Dedmon: Tip to Aldridge,12:00,1.0,Spurs,Mavericks,Spurs,101106.0,203473.0,200746.0,Spurs
8016,21600273,Jump Ball Nurkic vs. Whiteside: Tip to McRoberts,12:00,1.0,Heat,Nuggets,Heat,203994.0,202355.0,201177.0,Heat
8519,21600274,Jump Ball Chandler vs. Howard: Tip to Bledsoe,12:00,1.0,Suns,Hawks,Suns,2199.0,2730.0,202339.0,Suns
8981,21600275,Jump Ball Plumlee vs. Turner: Tip to Teague,12:00,1.0,Pacers,Pacers,Trail Blazers,203486.0,1626167.0,201952.0,Pacers
9410,21600276,Jump Ball Zeller vs. Mejri: Tip to,12:00,1.0,,Hornets,Mavericks,203469.0,1626257.0,1610612766.0,
9863,21600277,Jump Ball Lopez vs. Henson: Tip to Whitehead,12:00,1.0,Nets,Nets,Bucks,201572.0,203089.0,1627785.0,Nets
10326,21600278,Jump Ball Gasol vs. Biyombo: Tip to Ibaka,12:00,1.0,Magic,Grizzlies,Magic,201188.0,202687.0,201586.0,Magic
10800,21600279,Jump Ball Thompson vs. Jordan: Tip to Paul,12:00,1.0,Clippers,Cavaliers,Clippers,202684.0,201599.0,101108.0,Clippers
11280,21600280,Jump Ball Gobert vs. Whiteside: Tip to Exum,12:00,1.0,Jazz,Heat,Jazz,203497.0,202355.0,203957.0,Jazz
